@relation unknow
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.55, 0.44, 0.15, 0.8945, 0.3145, 0.151, 0.32, 19
I, 0.31, 0.235, 0.07, 0.151, 0.063, 0.0405, 0.045, 6
M, 0.695, 0.56, 0.19, 1.494, 0.588, 0.3425, 0.485, 15
F, 0.515, 0.425, 0.14, 0.766, 0.304, 0.1725, 0.255, 14
F, 0.575, 0.46, 0.19, 0.994, 0.392, 0.2425, 0.34, 13
F, 0.52, 0.405, 0.115, 0.776, 0.32, 0.1845, 0.22, 8
I, 0.36, 0.275, 0.085, 0.1975, 0.0745, 0.0415, 0.07, 9
F, 0.455, 0.355, 0.12, 0.4495, 0.177, 0.104, 0.15, 9
I, 0.265, 0.21, 0.06, 0.0965, 0.0425, 0.022, 0.03, 5
M, 0.745, 0.585, 0.215, 2.499, 0.9265, 0.472, 0.7, 17
F, 0.675, 0.545, 0.195, 1.7345, 0.6845, 0.3695, 0.605, 20
M, 0.63, 0.49, 0.19, 1.1775, 0.4935, 0.3365, 0.285, 11
M, 0.195, 0.145, 0.05, 0.032, 0.01, 0.0080, 0.012, 4
I, 0.62, 0.485, 0.18, 1.1785, 0.4675, 0.2655, 0.39, 13
M, 0.565, 0.44, 0.185, 0.909, 0.344, 0.2325, 0.255, 15
M, 0.52, 0.385, 0.115, 0.669, 0.2385, 0.172, 0.205, 12
I, 0.36, 0.3, 0.085, 0.27, 0.1185, 0.064, 0.0745, 7
I, 0.38, 0.275, 0.095, 0.1375, 0.086, 0.0585, 0.0605, 7
M, 0.505, 0.44, 0.14, 0.8275, 0.3415, 0.1855, 0.239, 8
I, 0.195, 0.15, 0.045, 0.0375, 0.018, 0.0060, 0.011, 3
I, 0.28, 0.21, 0.085, 0.1075, 0.0415, 0.024, 0.034, 5
I, 0.45, 0.34, 0.12, 0.4925, 0.241, 0.1075, 0.12, 6
M, 0.63, 0.5, 0.175, 1.2645, 0.5635, 0.3065, 0.3425, 10
M, 0.69, 0.53, 0.21, 1.583, 0.7355, 0.405, 0.3865, 12
I, 0.385, 0.29, 0.09, 0.2615, 0.111, 0.0595, 0.0745, 9
M, 0.585, 0.49, 0.185, 1.171, 0.522, 0.2535, 0.335, 10
F, 0.62, 0.5, 0.15, 1.293, 0.596, 0.3135, 0.354, 10
F, 0.59, 0.465, 0.15, 1.151, 0.613, 0.239, 0.2515, 9
M, 0.67, 0.51, 0.175, 1.5265, 0.651, 0.4475, 0.345, 10
I, 0.54, 0.43, 0.14, 0.8195, 0.3935, 0.1725, 0.2295, 9
M, 0.665, 0.505, 0.16, 1.289, 0.6145, 0.253, 0.3665, 11
F, 0.67, 0.52, 0.19, 1.32, 0.5235, 0.3095, 0.4275, 13
I, 0.535, 0.385, 0.18, 1.0835, 0.4955, 0.2295, 0.304, 8
I, 0.495, 0.38, 0.145, 0.5, 0.205, 0.148, 0.1505, 8
M, 0.515, 0.385, 0.11, 0.5785, 0.253, 0.16, 0.14, 8
I, 0.54, 0.39, 0.125, 0.6255, 0.2525, 0.158, 0.19, 8
M, 0.565, 0.415, 0.125, 0.667, 0.302, 0.1545, 0.185, 7
I, 0.605, 0.49, 0.165, 1.071, 0.482, 0.1935, 0.352, 10
I, 0.35, 0.235, 0.08, 0.17, 0.0725, 0.0465, 0.0495, 7
I, 0.43, 0.32, 0.11, 0.3675, 0.1675, 0.102, 0.105, 8
M, 0.53, 0.425, 0.13, 0.7455, 0.2995, 0.1355, 0.245, 10
M, 0.425, 0.33, 0.08, 0.361, 0.134, 0.0825, 0.125, 7
I, 0.19, 0.13, 0.03, 0.0295, 0.0155, 0.015, 0.01, 6
I, 0.485, 0.415, 0.14, 0.5705, 0.25, 0.134, 0.185, 8
F, 0.45, 0.36, 0.105, 0.4715, 0.2035, 0.0935, 0.149, 9
I, 0.435, 0.335, 0.11, 0.383, 0.1555, 0.0675, 0.135, 12
F, 0.44, 0.345, 0.105, 0.4285, 0.165, 0.083, 0.132, 11
M, 0.49, 0.39, 0.135, 0.592, 0.242, 0.096, 0.1835, 15
I, 0.42, 0.32, 0.1, 0.34, 0.1745, 0.05, 0.0945, 8
M, 0.595, 0.47, 0.165, 1.108, 0.4915, 0.2325, 0.3345, 9
M, 0.625, 0.48, 0.145, 1.085, 0.4645, 0.2445, 0.327, 10
I, 0.405, 0.3, 0.09, 0.2885, 0.138, 0.0635, 0.0765, 6
M, 0.48, 0.375, 0.12, 0.5895, 0.2535, 0.128, 0.172, 11
M, 0.735, 0.57, 0.21, 2.2355, 1.1705, 0.463, 0.5315, 10
M, 0.69, 0.515, 0.18, 1.8445, 0.9815, 0.4655, 0.341, 13
F, 0.51, 0.37, 0.21, 1.183, 0.508, 0.292, 0.343, 9
M, 0.64, 0.485, 0.16, 1.006, 0.456, 0.2245, 0.2835, 9
