@relation unknow
@attribute a1 {b, a}
@attribute a2 real [16.0, 8025.0]
@attribute a3 real [0.0, 26335.0]
@attribute a4 {u, y, l}
@attribute a5 {g, p, gg}
@attribute a6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute a7 {v, h, bb, ff, j, z, o, dd, n}
@attribute a8 real [0.0, 14415.0]
@attribute a9 {t, f}
@attribute a10 {t, f}
@attribute a11 real [0.0, 67.0]
@attribute a12 {f, t}
@attribute a13 {g, s, p}
@attribute a14 real [0.0, 2000.0]
@attribute a15 real [0.0, 100000.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15
@outputs class
@data
b, 3083.0, 0.0, u, g, w, v, 125.0, t, t, 1.0, f, g, 202.0, 0.0, positive
a, 5867.0, 446.0, u, g, q, h, 304.0, t, t, 6.0, f, g, 43.0, 560.0, positive
a, 245.0, 5.0, u, g, q, h, 15.0, t, f, 0.0, f, g, 280.0, 824.0, positive
b, 2783.0, 154.0, u, g, w, v, 375.0, t, t, 5.0, t, g, 100.0, 3.0, positive
b, 3208.0, 4.0, u, g, m, v, 25.0, t, f, 0.0, t, g, 360.0, 0.0, positive
b, 3317.0, 104.0, u, g, r, h, 65.0, t, f, 0.0, t, g, 164.0, 31285.0, positive
a, 2292.0, 11585.0, u, g, cc, v, 4.0, t, f, 0.0, f, g, 80.0, 1349.0, positive
b, 5442.0, 5.0, y, p, k, h, 396.0, t, f, 0.0, f, g, 180.0, 314.0, positive
b, 2208.0, 83.0, u, g, c, h, 2165.0, f, f, 0.0, t, g, 128.0, 0.0, positive
a, 3825.0, 6.0, u, g, k, v, 1.0, t, f, 0.0, t, g, 0.0, 0.0, positive
b, 4808.0, 604.0, u, g, k, v, 4.0, f, f, 0.0, f, g, 0.0, 2690.0, positive
b, 3667.0, 4415.0, y, p, k, v, 25.0, t, t, 10.0, t, g, 320.0, 0.0, positive
b, 2825.0, 875.0, u, g, m, v, 96.0, t, t, 3.0, t, g, 396.0, 0.0, positive
a, 2325.0, 5875.0, u, g, q, v, 317.0, t, t, 10.0, f, g, 120.0, 245.0, positive
b, 2183.0, 25.0, u, g, d, h, 665.0, t, f, 0.0, t, g, 0.0, 0.0, positive
a, 1917.0, 8585.0, u, g, cc, h, 75.0, t, t, 7.0, f, g, 96.0, 0.0, positive
b, 25.0, 1125.0, u, g, c, v, 25.0, t, t, 17.0, f, g, 200.0, 1208.0, positive
a, 4117.0, 65.0, u, g, q, v, 5.0, t, t, 3.0, t, g, 145.0, 0.0, positive
a, 47.0, 13.0, u, g, i, bb, 5165.0, t, t, 9.0, t, g, 0.0, 0.0, positive
b, 5742.0, 85.0, u, g, e, h, 7.0, t, t, 3.0, f, g, 0.0, 0.0, positive
b, 4208.0, 104.0, u, g, w, v, 5.0, t, t, 6.0, t, g, 500.0, 10000.0, positive
b, 2925.0, 1479.0, u, g, aa, v, 504.0, t, t, 5.0, t, g, 168.0, 0.0, positive
b, 42.0, 979.0, u, g, x, h, 796.0, t, t, 8.0, f, g, 0.0, 0.0, positive
b, 495.0, 7585.0, u, g, i, bb, 7585.0, t, t, 15.0, t, g, 0.0, 5000.0, positive
a, 3675.0, 5125.0, u, g, e, v, 5.0, t, f, 0.0, t, g, 0.0, 4000.0, positive
a, 2258.0, 1075.0, u, g, q, v, 415.0, t, t, 5.0, t, g, 0.0, 560.0, positive
b, 2783.0, 15.0, u, g, w, v, 2.0, t, t, 11.0, t, g, 434.0, 35.0, positive
b, 2725.0, 1585.0, u, g, cc, h, 1835.0, t, t, 12.0, t, g, 583.0, 713.0, positive
a, 23.0, 1175.0, u, g, x, h, 5.0, t, t, 2.0, t, g, 300.0, 551.0, positive
b, 2775.0, 585.0, y, p, cc, v, 25.0, t, t, 2.0, f, g, 260.0, 500.0, positive
b, 5458.0, 9415.0, u, g, ff, ff, 14415.0, t, t, 11.0, t, g, 30.0, 300.0, positive
b, 3417.0, 917.0, u, g, c, v, 45.0, t, t, 12.0, t, g, 0.0, 221.0, positive
b, 2892.0, 15.0, u, g, c, h, 5335.0, t, t, 11.0, f, g, 0.0, 2283.0, positive
b, 2967.0, 1415.0, u, g, w, h, 75.0, t, t, 1.0, f, g, 240.0, 100.0, positive
b, 3958.0, 13915.0, u, g, w, v, 8625.0, t, t, 6.0, t, g, 70.0, 0.0, positive
b, 5642.0, 28.0, y, p, c, v, 285.0, t, t, 40.0, f, g, 0.0, 15.0, positive
b, 5433.0, 675.0, u, g, c, h, 2625.0, t, t, 11.0, t, g, 0.0, 284.0, positive
b, 3192.0, 446.0, u, g, cc, h, 604.0, t, t, 3.0, f, g, 311.0, 300.0, positive
b, 2392.0, 665.0, u, g, c, v, 165.0, f, f, 0.0, f, g, 100.0, 0.0, positive
a, 2575.0, 5.0, u, g, c, h, 875.0, t, f, 0.0, t, g, 491.0, 0.0, positive
b, 26.0, 1.0, u, g, q, v, 175.0, t, f, 0.0, t, g, 280.0, 0.0, positive
b, 3742.0, 204.0, u, g, w, v, 4.0, t, f, 0.0, t, g, 400.0, 5800.0, positive
b, 3492.0, 25.0, u, g, w, v, 0.0, t, f, 0.0, t, g, 239.0, 200.0, positive
b, 3425.0, 3.0, u, g, cc, h, 7415.0, t, f, 0.0, t, g, 0.0, 0.0, positive
b, 2333.0, 11625.0, y, p, w, v, 835.0, t, f, 0.0, t, g, 160.0, 300.0, positive
b, 2317.0, 0.0, u, g, cc, v, 85.0, t, f, 0.0, f, g, 0.0, 0.0, positive
b, 3517.0, 45.0, u, g, x, h, 575.0, f, f, 0.0, t, s, 711.0, 0.0, positive
