@relation unknow
@attribute x-box integer [0, 15]
@attribute y-box integer [0, 15]
@attribute width integer [0, 15]
@attribute high integer [0, 15]
@attribute onpix integer [0, 15]
@attribute x-bar integer [0, 15]
@attribute y-bar integer [0, 15]
@attribute x2bar integer [0, 15]
@attribute y2bar integer [0, 15]
@attribute xybar integer [0, 15]
@attribute x2ybr integer [0, 15]
@attribute xy2br integer [0, 15]
@attribute x-ege integer [0, 15]
@attribute xegvy integer [0, 15]
@attribute y-ege integer [0, 15]
@attribute yegvx integer [0, 15]
@attribute letter {T, I, D, N, G, S, B, A, J, M, X, O, R, F, C, H, W, L, P, E, V, Y, Q, U, K, Z}
@inputs x-box, y-box, width, high, onpix, x-bar, y-bar, x2bar, y2bar, xybar, x2ybr, xy2br, x-ege, xegvy, y-ege, yegvx
@outputs letter
@data
7, 11, 8, 9, 4, 3, 9, 6, 7, 11, 11, 10, 3, 9, 2, 6, U
4, 6, 6, 4, 3, 11, 6, 3, 8, 11, 3, 6, 3, 8, 3, 9, D
4, 9, 5, 7, 3, 3, 7, 6, 11, 7, 6, 15, 0, 8, 7, 7, E
6, 10, 6, 8, 6, 2, 10, 2, 3, 10, 9, 8, 7, 11, 2, 6, W
1, 2, 2, 3, 1, 8, 7, 4, 1, 7, 8, 10, 2, 9, 3, 9, Q
5, 8, 5, 6, 3, 4, 11, 2, 3, 8, 10, 7, 3, 12, 1, 7, V
3, 4, 5, 3, 2, 7, 7, 1, 8, 10, 6, 8, 2, 8, 3, 7, X
7, 8, 8, 9, 8, 7, 8, 4, 6, 6, 8, 7, 4, 9, 10, 9, I
3, 6, 3, 4, 2, 3, 8, 6, 10, 7, 6, 15, 0, 8, 7, 7, E
3, 7, 5, 5, 4, 8, 4, 7, 4, 6, 5, 7, 3, 8, 3, 9, Q
6, 14, 6, 8, 4, 12, 2, 3, 2, 12, 4, 11, 4, 4, 4, 11, A
2, 4, 3, 2, 1, 8, 7, 7, 5, 7, 6, 8, 2, 8, 3, 8, O
3, 6, 5, 4, 3, 11, 2, 2, 2, 9, 2, 9, 2, 6, 3, 8, A
7, 9, 7, 7, 5, 6, 12, 5, 6, 11, 9, 4, 3, 13, 3, 4, T
4, 6, 6, 4, 4, 7, 7, 6, 5, 7, 6, 6, 4, 8, 3, 7, D
3, 3, 4, 2, 2, 7, 8, 7, 5, 7, 7, 8, 2, 8, 3, 8, O
3, 7, 5, 5, 5, 7, 9, 6, 3, 6, 6, 10, 3, 7, 7, 8, G
2, 0, 3, 1, 0, 7, 9, 4, 2, 7, 13, 8, 2, 10, 0, 8, V
3, 7, 4, 5, 2, 6, 12, 2, 7, 8, 11, 8, 1, 11, 1, 7, T
7, 11, 9, 8, 11, 8, 6, 5, 3, 8, 6, 8, 5, 7, 11, 8, S
6, 10, 8, 8, 9, 7, 6, 6, 4, 8, 7, 8, 4, 10, 8, 11, F
3, 6, 4, 4, 3, 5, 10, 2, 6, 10, 9, 6, 1, 10, 3, 6, F
3, 5, 4, 7, 2, 0, 14, 4, 4, 12, 11, 6, 0, 8, 2, 6, F
7, 12, 7, 6, 4, 9, 8, 4, 5, 8, 8, 5, 6, 10, 3, 6, V
7, 9, 6, 5, 3, 4, 4, 5, 5, 4, 7, 8, 5, 7, 2, 7, U
4, 7, 5, 9, 6, 8, 6, 8, 2, 5, 6, 9, 3, 8, 5, 10, Q
2, 2, 4, 3, 2, 8, 2, 2, 2, 8, 2, 8, 2, 6, 3, 7, A
3, 7, 5, 5, 2, 9, 7, 1, 8, 10, 4, 7, 3, 8, 3, 8, X
4, 2, 5, 4, 4, 8, 6, 6, 4, 7, 7, 8, 7, 5, 2, 7, M
4, 7, 6, 5, 4, 6, 8, 3, 7, 11, 8, 8, 3, 8, 4, 6, E
5, 8, 6, 6, 2, 6, 7, 7, 10, 6, 6, 15, 1, 8, 4, 9, C
6, 8, 8, 11, 12, 8, 8, 4, 2, 7, 8, 9, 4, 12, 9, 8, Y
7, 6, 9, 5, 9, 7, 8, 5, 4, 6, 5, 8, 13, 7, 5, 8, M
3, 8, 5, 6, 1, 9, 8, 4, 3, 6, 14, 8, 3, 9, 0, 8, V
4, 4, 4, 5, 2, 7, 6, 15, 1, 7, 8, 8, 3, 8, 0, 8, H
2, 4, 4, 3, 2, 9, 6, 3, 7, 10, 4, 8, 1, 9, 5, 9, S
6, 9, 9, 7, 5, 9, 8, 2, 5, 10, 2, 4, 7, 10, 2, 7, N
2, 4, 3, 3, 1, 11, 3, 3, 2, 11, 2, 9, 2, 6, 2, 9, A
3, 9, 5, 7, 3, 10, 2, 2, 2, 8, 1, 8, 2, 7, 3, 8, A
6, 11, 7, 8, 6, 8, 5, 13, 5, 6, 12, 8, 3, 9, 0, 8, U
4, 3, 5, 4, 4, 6, 7, 6, 6, 7, 6, 10, 3, 8, 3, 8, H
4, 5, 5, 7, 2, 4, 7, 9, 2, 7, 5, 11, 4, 8, 2, 11, K
5, 7, 7, 10, 10, 8, 8, 4, 2, 7, 8, 9, 4, 11, 9, 8, Y
5, 10, 5, 6, 2, 6, 10, 3, 5, 13, 6, 5, 2, 8, 5, 6, F
2, 3, 4, 1, 2, 7, 7, 2, 7, 11, 7, 9, 1, 9, 4, 8, E
4, 9, 6, 7, 6, 8, 9, 7, 2, 6, 6, 11, 4, 7, 8, 9, E
3, 10, 4, 7, 2, 3, 7, 6, 11, 7, 6, 15, 0, 8, 7, 7, E
3, 5, 4, 4, 2, 6, 6, 5, 5, 9, 7, 11, 2, 9, 4, 10, G
1, 4, 2, 3, 1, 7, 8, 0, 7, 13, 6, 8, 0, 8, 1, 7, I
2, 7, 3, 5, 2, 6, 6, 9, 7, 6, 7, 7, 2, 8, 8, 10, B
0, 1, 1, 2, 0, 7, 7, 2, 6, 7, 6, 8, 0, 8, 2, 8, I
5, 9, 7, 7, 8, 8, 7, 3, 5, 6, 7, 9, 5, 10, 8, 8, E
1, 1, 2, 2, 1, 7, 11, 1, 6, 7, 11, 8, 1, 11, 1, 8, Y
6, 11, 6, 8, 6, 5, 7, 10, 7, 5, 4, 6, 4, 10, 5, 9, D
6, 11, 8, 8, 6, 4, 9, 2, 8, 10, 8, 9, 3, 8, 5, 5, E
4, 4, 5, 6, 3, 7, 6, 5, 9, 5, 6, 8, 0, 9, 9, 8, S
3, 7, 4, 5, 2, 7, 8, 4, 8, 11, 8, 8, 2, 10, 5, 7, S
1, 5, 1, 4, 1, 7, 7, 1, 7, 7, 6, 8, 0, 8, 2, 8, I
4, 10, 5, 7, 3, 7, 7, 15, 1, 7, 6, 8, 3, 8, 0, 8, H
5, 9, 5, 7, 3, 5, 8, 6, 8, 12, 9, 12, 2, 10, 3, 7, C
3, 5, 5, 4, 2, 4, 10, 1, 8, 10, 10, 5, 3, 11, 5, 3, Y
3, 5, 5, 4, 2, 7, 7, 2, 10, 12, 6, 8, 1, 8, 6, 8, Z
3, 7, 4, 5, 3, 7, 12, 3, 7, 7, 11, 8, 2, 11, 1, 8, T
5, 6, 3, 9, 3, 9, 7, 3, 3, 11, 4, 5, 3, 8, 6, 9, J
2, 3, 3, 2, 1, 7, 8, 6, 6, 7, 9, 8, 3, 10, 1, 8, U
6, 8, 9, 12, 12, 7, 9, 3, 3, 7, 8, 9, 7, 13, 12, 5, Y
4, 6, 6, 4, 3, 6, 13, 7, 2, 11, 5, 2, 1, 10, 4, 7, P
5, 12, 5, 6, 3, 12, 2, 4, 2, 11, 3, 11, 4, 4, 4, 11, A
1, 0, 1, 0, 0, 5, 11, 6, 1, 9, 6, 5, 0, 9, 3, 8, P
